entry_idx,exit_idx,entry_time,exit_time,side,entry_price,exit_price,size,pnl,exit_reason,regime_at_entry
47,57,2024-09-13 01:15:00+00:00,2024-09-13 03:45:00+00:00,short,0.5577,0.562527621271032,41428.270523227904,-223.30454647080637,sl,TREND_DOWN
76,104,2024-09-13 08:30:00+00:00,2024-09-13 15:30:00+00:00,short,0.5659,0.5715664125054627,34425.98256888431,-214.74855349504105,sl,TREND_DOWN
104,147,2024-09-13 15:30:00+00:00,2024-09-14 02:15:00+00:00,short,0.5708,0.5760664414510439,36151.01688120207,-211.2126014501423,sl,TREND_DOWN
155,171,2024-09-14 04:15:00+00:00,2024-09-14 08:15:00+00:00,short,0.5774,0.580843806467512,53937.48560354851,-217.07951621208574,sl,TREND_DOWN
195,211,2024-09-14 14:15:00+00:00,2024-09-14 18:15:00+00:00,short,0.5877,0.5944557360945496,26760.34096428044,-196.69363954090616,sl,TREND_DOWN
235,277,2024-09-15 00:15:00+00:00,2024-09-15 10:45:00+00:00,short,0.5925,0.5844984033699689,33094.15526904241,245.46260035886198,tp,TREND_DOWN
277,296,2024-09-15 10:45:00+00:00,2024-09-15 15:30:00+00:00,long,0.584,0.5894017384240636,50276.723779424916,241.94852227749533,tp,RANGE
298,302,2024-09-15 16:00:00+00:00,2024-09-15 17:00:00+00:00,long,0.5871,0.5837654906294238,55572.257115403256,-217.74737803573498,sl,RANGE
302,318,2024-09-15 17:00:00+00:00,2024-09-15 21:00:00+00:00,long,0.5829,0.5791358308482657,47898.68037905362,-208.0385771494722,sl,RANGE
348,350,2024-09-16 04:30:00+00:00,2024-09-16 05:00:00+00:00,short,0.5694,0.5744919931756433,34481.499616421475,-195.38890617508628,sl,TREND_DOWN
360,397,2024-09-16 07:30:00+00:00,2024-09-16 16:45:00+00:00,short,0.5713,0.5762313622690935,34732.61503521901,-191.29312936854157,sl,TREND_DOWN
419,445,2024-09-16 22:15:00+00:00,2024-09-17 04:45:00+00:00,short,0.5826,0.588925146994472,26411.463637267196,-182.61076494978263,sl,TREND_DOWN
453,481,2024-09-17 06:45:00+00:00,2024-09-17 13:45:00+00:00,short,0.5879,0.5819372515522304,41028.83836209188,220.76843282653516,tp,RANGE
481,483,2024-09-17 13:45:00+00:00,2024-09-17 14:15:00+00:00,long,0.5817,0.5873406651488325,44417.46904118469,224.45588380908197,tp,RANGE
489,522,2024-09-17 15:45:00+00:00,2024-09-18 00:00:00+00:00,short,0.5907,0.5830727451084468,33629.74235541217,236.89403068953297,tp,TREND_DOWN
