timestamp,event_type,price,regime_raw,regime_confirmed,confirm_reason,signal,signal_reason,signal_score,action,decision_reason,position,unrealized_pnl,ema_fast,ema_slow,atr,rsi
2026-01-19T07:09:08.898052,INITIAL,2.0584,RANGE,TREND_UP,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_UP_NO_REBOUND,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0570,2.0562,0.001650,61.2
2026-01-19T07:12:05.823136,REGIME_CHANGE,2.0594,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0572,2.0563,0.001593,64.1
2026-01-19T07:15:08.674634,REGIME_CHANGE,2.0615,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0576,2.0565,0.001593,66.9
2026-01-19T07:18:04.497689,REGIME_CHANGE,2.0602,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0579,2.0567,0.001579,61.7
2026-01-19T07:21:06.515329,REGIME_CHANGE,2.0603,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0581,2.0568,0.001514,63.6
2026-01-19T07:24:08.658955,REGIME_CHANGE,2.0580,RANGE,TREND_UP,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_UP_NO_REBOUND,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0581,2.0569,0.001614,53.0
2026-01-19T07:27:05.330168,REGIME_CHANGE,2.0575,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0581,2.0569,0.001486,44.7
2026-01-19T07:30:07.941510,REGIME_CHANGE,2.0568,RANGE,RANGE,RANGE_VALIDATED,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0579,2.0569,0.001379,48.6
2026-01-19T07:36:06.787632,REGIME_CHANGE,2.0556,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0575,2.0568,0.001229,50.0
2026-01-19T07:42:06.805672,REGIME_CHANGE,2.0596,RANGE,RANGE,RANGE_VALIDATED,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0577,2.0569,0.001207,60.0
2026-01-19T07:45:09.681314,REGIME_CHANGE,2.0594,RANGE,TREND_UP,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_UP_NO_REBOUND,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0579,2.0570,0.001071,53.4
2026-01-19T07:51:07.825407,REGIME_CHANGE,2.0585,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0580,2.0572,0.001050,50.3
2026-01-19T07:57:04.747195,REGIME_CHANGE,2.0597,TREND_DOWN,RANGE,TREND_DOWN_OVERRIDE_RANGE_LOW_SLOPE,HOLD,RANGE_DISABLED,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0583,2.0573,0.000914,42.7
2026-01-19T08:03:10.986332,REGIME_CHANGE,2.0526,TRANSITION,TRANSITION,TRANSITION_NOT_CONFIRMED,HOLD,TRANSITION_BLOCK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0578,2.0572,0.001321,28.7
2026-01-19T08:06:07.072720,REGIME_CHANGE,2.0453,RANGE,TREND_DOWN,RANGE_OVERRIDE_TREND_DRIFT,HOLD,TREND_DOWN_NO_PULLBACK,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0566,2.0568,0.001743,22.5
2026-01-19T08:30:08.259461,REGIME_CHANGE,2.0191,RANGE,HIGH_VOL,HIGH_VOL_ACTIVE,HOLD,FSM_BLOCKED_REGIME,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,2.0444,2.0509,0.003743,9.2
2026-01-19T09:06:04.381516,PERIODIC,1.9421,TREND_DOWN,HIGH_VOL,HIGH_VOL_ACTIVE,HOLD,FSM_BLOCKED_REGIME,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9959,2.0244,0.018929,31.8
2026-01-19T10:06:06.815055,PERIODIC,1.9453,TREND_DOWN,HIGH_VOL,HIGH_VOL_ACTIVE,HOLD,FSM_BLOCKED_REGIME,0.000,NO_ACTION,DE_HOLD,FLAT,0.00,1.9482,1.9774,0.004707,62.5
