side,entry_price,exit_price,size,pnl,pnl_pct,price_move_pct,bars_held,exit_reason,signal,support,resistance,mid,zone_width_atr,dist_to_zone,zone_strength,atr_at_entry,volatility_at_entry,price_position,target_reached_pct
LONG,0.4782,0.4779,19866.16478460895,-15.45388958594775,-0.16267252195734472,-0.06273525721455928,1,RANGE_EXIT_REGIME_CHANGE,LONG_BOUNCE,0.4781,0.4827,0.48040000000000005,9.199999999999903,0.1999999999999762,0.0001,0.0005000000000000045,0.005,0.02173913043478025,-13.63636363636444
LONG,0.4772,0.477,19858.1177805812,-13.443945737454138,-0.14186923721710676,-0.04191114836547223,15,RANGE_EXIT_REGIME_CHANGE,LONG_BOUNCE,0.477,0.4827,0.47985,10.639999999999905,0.37333333333339,0.0001,0.0005357142857142941,0.005,0.03508771929825125,-7.547169811322059
SHORT,0.479,0.4793,19738.03669588334,-15.38185199710233,-0.16269311064718633,-0.0626304801670193,15,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.476,0.4792,0.4776,8.784313725490593,0.5490196078432478,0.0001,0.00036428571428570193,0.005,0.9374999999999902,-21.428571428573694
SHORT,0.4815,0.4817,19586.552490825357,-13.352152832996303,-0.14157840083074424,-0.041536863966777464,3,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4779,0.482,0.47995,4.283582089552223,0.5223880597014922,0.0001,0.0009571428571428588,0.005,0.8780487804878045,-12.903225806453808
SHORT,0.4841,0.4849,19436.647594232487,-24.974148493829766,-0.26542036769263017,-0.16525511258005018,21,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4809,0.4841,0.4825,14.000000000000485,0.0,0.0001,0.00022857142857141927,0.005,1.0,-50.000000000001734
SHORT,0.4849,0.4838,19337.21765777162,11.915593520718677,0.12707774798927404,0.2268508970921819,17,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.4791,0.4854,0.48225,7.055999999999994,0.5600000000000025,0.0001,0.0008928571428571397,0.005,0.9206349206349203,41.50943396226399
LONG,0.4728,0.4715,19837.201501899322,-35.14160246061511,-0.37468274111675615,-0.2749576988155718,2,RANGE_EXIT_REGIME_CHANGE,LONG_BOUNCE,0.4727,0.4875,0.48009999999999997,27.626666666667013,0.18666666666664872,0.0001,0.0005357142857142783,0.005,0.006756756756756022,-17.808219178082577
LONG,0.4714,0.4668,19806.394294301703,-100.35503861036773,-1.0748408994484502,-0.9758167161646146,138,RANGE_EXIT_REGIME_CHANGE,LONG_BOUNCE,0.4712,0.4841,0.47765,16.72222222222239,0.25925925925923393,0.0001,0.0007714285714285618,0.005,0.01550387596899058,-73.5999999999995
SHORT,0.4696,0.4686,19660.406912472652,10.447540233287985,0.1131601362862012,0.21294718909710408,10,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.4623,0.4697,0.46599999999999997,16.709677419355074,0.225806451612881,0.0001,0.0004428571428571377,0.005,0.986486486486488,27.777777777777434
SHORT,0.4454,0.4461,20731.210930819463,-23.760040847811737,-0.25731926358329105,-0.15716210148180926,14,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4368,0.4458,0.4413,12.233009708737697,0.5436893203882851,0.0001,0.0007357142857142919,0.005,0.9555555555555603,-17.07317073170682
SHORT,0.4249,0.425,21657.65430101297,-11.370268508031572,-0.12355848434925606,-0.0235349493998562,5,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.411,0.4251,0.41805,10.966666666666658,0.15555555555553827,0.0001,0.001285714285714287,0.005,0.985815602836881,-1.4598540145983745
SHORT,0.4269,0.4251,21510.40837894332,29.574660480209687,0.32206605762474205,0.42164441321153057,3,RANGE_EXIT_TARGET,SHORT_BOUNCE,0.4229,0.4273,0.42510000000000003,6.159999999999912,0.5600000000000062,0.0001,0.0007142857142857269,0.005,0.9090909090909068,100.00000000000308
SHORT,0.4313,0.4317,21335.881314066726,-17.745052488908357,-0.19283561326222026,-0.09274287039182841,2,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.4236,0.4316,0.4276,14.358974358974828,0.5384615384614964,0.0001,0.0005571428571428394,0.005,0.9625000000000041,-10.810810810809514
SHORT,0.4343,0.4323,21129.555039286894,33.1248034350901,0.36097167856320556,0.4605111673958097,10,TREND_EXIT_EMA_SLOW_CROSS,SHORT_BOUNCE,0.4259,0.4346,0.43025,12.556701030927758,0.43298969072159993,0.0001,0.0006928571428571459,0.005,0.965517241379314,49.382716049382786
SHORT,0.4465,0.4466,20603.172630145018,-11.26169415963704,-0.12241881298991913,-0.022396416573345797,8,RANGE_EXIT_REGIME_CHANGE,SHORT_BOUNCE,0.434,0.4467,0.44035,25.768115942028487,0.40579710144922315,0.0001,0.000492857142857152,0.005,0.9842519685039387,-1.6260162601624255
LONG,0.4451,0.4443,20624.306041693337,-25.66282400767949,-0.27955515614469173,-0.17973489103572746,2,RANGE_EXIT_REGIME_CHANGE,LONG_BOUNCE,0.4449,0.4497,0.44730000000000003,9.081081081080937,0.378378378378333,0.0001,0.0005285714285714338,0.005,0.04166666666666233,-36.36363636363682
LONG,0.4438,0.4444,20610.135312443017,3.2069370546170592,0.035060838215422475,0.13519603424967214,16,TREND_EXIT_EMA_SLOW_CROSS,LONG_BOUNCE,0.4435,0.4496,0.44655,11.236842105263237,0.552631578947312,0.0001,0.0005428571428571386,0.005,0.04918032786884709,21.818181818183213
LONG,0.4331,0.4341,21106.292317513322,11.944050822480808,0.13066266451166036,0.23089355806973008,10,TREND_EXIT_EMA_SLOW_CROSS,LONG_BOUNCE,0.433,0.4429,0.43795,13.99999999999992,0.14141414141412476,0.0001,0.0007071428571428626,0.005,0.010101010101008969,20.618556701030858
